year,round,position,constructor_id,points
2021,1,1,mercedes,41
2021,1,2,red_bull,28
2021,1,3,mclaren,18
2021,1,4,ferrari,12
2021,1,5,alphatauri,2
2021,1,6,aston_martin,1
2021,1,7,alfa_romeo,0
2021,1,8,alpine,0
2021,1,9,williams,0
2021,1,10,haas,0
2021,2,1,mercedes,60
2021,2,2,red_bull,53
2021,2,3,mclaren,41
2021,2,4,ferrari,34
2021,2,5,alphatauri,8
2021,2,6,aston_martin,5
2021,2,7,alpine,3
2021,2,8,alfa_romeo,0
2021,2,9,williams,0
2021,2,10,haas,0
2021,3,1,mercedes,101
2021,3,2,red_bull,83
2021,3,3,mclaren,53
2021,3,4,ferrari,42
2021,3,5,alpine,13
2021,3,6,alphatauri,9
2021,3,7,aston_martin,5
2021,3,8,alfa_romeo,0
2021,3,9,williams,0
2021,3,10,haas,0
2021,4,1,mercedes,141
2021,4,2,red_bull,112
2021,4,3,mclaren,65
2021,4,4,ferrari,60
2021,4,5,alpine,15
2021,4,6,alphatauri,10
2021,4,7,aston_martin,5
2021,4,8,alfa_romeo,0
2021,4,9,williams,0
2021,4,10,haas,0
2021,5,1,red_bull,149
2021,5,2,mercedes,148
2021,5,3,mclaren,80
2021,5,4,ferrari,78
2021,5,5,aston_martin,19
2021,5,6,alphatauri,18
2021,5,7,alpine,17
2021,5,8,alfa_romeo,1
2021,5,9,williams,0
2021,5,10,haas,0
2021,6,1,red_bull,174
2021,6,2,mercedes,148
2021,6,3,ferrari,94
2021,6,4,mclaren,92
2021,6,5,alphatauri,39
2021,6,6,aston_martin,37
2021,6,7,alpine,25
2021,6,8,alfa_romeo,2
2021,6,9,haas,0
2021,6,10,williams,0
2021,7,1,red_bull,215
2021,7,2,mercedes,178
2021,7,3,mclaren,110
2021,7,4,ferrari,94
2021,7,5,alphatauri,45
2021,7,6,aston_martin,40
2021,7,7,alpine,29
2021,7,8,alfa_romeo,2
2021,7,9,williams,0
2021,7,10,haas,0
2021,8,1,red_bull,252
2021,8,2,mercedes,212
2021,8,3,mclaren,120
2021,8,4,ferrari,108
2021,8,5,alphatauri,46
2021,8,6,aston_martin,44
2021,8,7,alpine,31
2021,8,8,alfa_romeo,2
2021,8,9,williams,0
2021,8,10,haas,0
2021,9,1,red_bull,286
2021,9,2,mercedes,242
2021,9,3,mclaren,141
2021,9,4,ferrari,122
2021,9,5,alphatauri,48
2021,9,6,aston_martin,44
2021,9,7,alpine,32
2021,9,8,alfa_romeo,2
2021,9,9,williams,0
2021,9,10,haas,0
2021,10,1,red_bull,289
2021,10,2,mercedes,285
2021,10,3,mclaren,163
2021,10,4,ferrari,148
2021,10,5,alphatauri,49
2021,10,6,aston_martin,48
2021,10,7,alpine,40
2021,10,8,alfa_romeo,2
2021,10,9,williams,0
2021,10,10,haas,0
2021,11,1,mercedes,303
2021,11,2,red_bull,291
2021,11,3,ferrari,163
2021,11,4,mclaren,163
2021,11,5,alpine,77
2021,11,6,alphatauri,68
2021,11,7,aston_martin,48
2021,11,8,williams,10
