constructor_id,constructor_name,country,main_office,url,void
mercedes,Mercedes,Germany,Brackley (England),https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,
red_bull,Red Bull,Austria,Milton Keynes (England),https://en.wikipedia.org/wiki/Red_Bull_Racing,
ferrari,Ferrari,Italy,Modena (Italy),https://en.wikipedia.org/wiki/Scuderia_Ferrari,
mclaren,McLaren,England,Surrey (England),https://en.wikipedia.org/wiki/McLaren,
alpine,Alpine,France,Enstone (England),https://en.wikipedia.org/wiki/Alpine_F1_Team,
alphatauri,AlphaTauri,Italy,Faenza (Italy),https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,
aston_martin,Aston Martin,England,Silverstone (England),https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,
williams,Williams,England,Grove (Oxfordshire England),https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,
alfa_romeo,Alfa Romeo,Switzerland,Zürich (Switzerland),https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,
haas,Haas,United States of America,Kannapolis (North Carolina USA),https://en.wikipedia.org/wiki/Haas_F1_Team,
