driver_id,driver_name,country,date_of_birth,void
lewis_hamilton,Lewis Hamilton,England,1985-01-07,
valtteri_bottas,Valtteri Bottas,Finland,1989-08-28,
max_verstappen,Max Verstappen,Netherland,1997-09-30,
sergio_perez,Sergio Pérez,Mexico,1990-01-26,
charles_leclerc,Charles Leclerc,Monaco,1997-10-16,
carlos_sainz,Carlos Sainz,Spain,1994-09-01,
lando_norris,Lando Norris,England,1999-11-13,
daniel_ricciardo,Daniel Ricciardo,Australia,1989-07-01,
fernando_alonso,Fernando Alonso,Spain,1981-07-29,
esteban_ocon,Esteban Ocon,France,1996-09-17,
pierre_gasly,Pierre Gasly,France,1996-02-07,
yuki_tsunoda,Yuki Tsunoda,Japan,2000-05-11,
sebastian_vettel,Sebastian Vettel,Germany,1987-07-03,
lance_stroll,Lance Stroll,Canada,1998-10-29,
george_russell,George Russel,England,1998-02-15,
nicholas_latifi,Nicholas Latifi,Canada,1995-06-29,
kimi_raikkonen,Kimi Räikkönen,Finland,1979-10-17,
antonio_giovinazzi,Antonio Giovinazzi,Italy,1993-12-14,
mick_schumacher,Mick Schumacher,Germany,1999-03-22,
nikita_mazepin,Nikita Mazepin,Russia,1999-03-02,
robert_kubica,Robert Kubica,Poland,1984-12-07,
alexander_albon,Alexander Albon,Thailand,1996-03-23,
zhou_guanyu,Zhou Guanyu,China,1999-05-30,
kevin_magnussen,Kevin Magnussen,Denmark,1992-10-05,
nico_hulkenberg,Nico Hülkenberg,Germany,1987-08-19,
nyck_de_vries,Nyck de Vries,Netherland,1995-02-05,
logan_sargeant,Logan Sargeant,United States of America,2001-12-31,
oscar_piastri,Oscar Piastri,Australia,2001-04-06,
