driver_id,driver_name,country,date_of_birth,url,void
lewis_hamilton,Lewis Hamilton,England,1985-01-07,https://en.wikipedia.org/wiki/Lewis_Hamilton,
valtteri_bottas,Valtteri Bottas,Finland,1989-08-28,https://en.wikipedia.org/wiki/Valtteri_Bottas,
max_verstappen,Max Verstappen,Netherland,1997-09-30,https://en.wikipedia.org/wiki/Max_Verstappen,
sergio_perez,Sergio Pérez,Mexico,1990-01-26,https://en.wikipedia.org/wiki/Sergio_Pérez,
charles_leclerc,Charles Leclerc,Monaco,1997-10-16,https://en.wikipedia.org/wiki/Charles_Leclerc,
carlos_sainz,Carlos Sainz,Spain,1994-09-01,https://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,
lando_norris,Lando Norris,England,1999-11-13,https://en.wikipedia.org/wiki/Lando_Norris,
daniel_ricciardo,Daniel Ricciardo,Australia,1989-07-01,https://en.wikipedia.org/wiki/Daniel_Ricciardo,
fernando_alonso,Fernando Alonso,Spain,1981-07-29,https://en.wikipedia.org/wiki/Fernando_Alonso,
esteban_ocon,Esteban Ocon,France,1996-09-17,https://en.wikipedia.org/wiki/Esteban_Ocon,
pierre_gasly,Pierre Gasly,France,1996-02-07,https://en.wikipedia.org/wiki/Pierre_Gasly,
yuki_tsunoda,Yuki Tsunoda,Japan,2000-05-11,https://en.wikipedia.org/wiki/Yuki_Tsunoda,
sebastian_vettel,Sebastian Vettel,Germany,1987-07-03,https://en.wikipedia.org/wiki/Sebastian_Vettel,
lance_stroll,Lance Stroll,Canada,1998-10-29,https://en.wikipedia.org/wiki/Lance_Stroll,
george_russell,George Russel,England,1998-02-15,https://en.wikipedia.org/wiki/George_Russell_(racing_driver),
nicholas_latifi,Nicholas Latifi,Canada,1995-06-29,https://en.wikipedia.org/wiki/Nicholas_Latifi,
kimi_raikkonen,Kimi Räikkönen,Finland,1979-10-17,https://en.wikipedia.org/wiki/Kimi_Räikkönen,
antonio_giovinazzi,Antonio Giovinazzi,Italy,1993-12-14,https://en.wikipedia.org/wiki/Antonio_Giovinazzi,
mick_schumacher,Mick Schumacher,Germany,1999-03-22,https://en.wikipedia.org/wiki/Mick_Schumacher,
nikita_mazepin,Nikita Mazepin,Russia,1999-03-02,https://en.wikipedia.org/wiki/Nikita_Mazepin,
robert_kubica,Robert Kubica,Poland,1984-12-07,https://en.wikipedia.org/wiki/Robert_Kubica,
alexander_albon,Alexander Albon,Thailand,1996-03-23,https://en.wikipedia.org/wiki/Alexander_Albon,
zhou_guanyu,Zhou Guanyu,China,1999-05-30,https://en.wikipedia.org/wiki/Zhou_Guanyu,
kevin_magnussen,Kevin Magnussen,Denmark,1992-10-05,https://en.wikipedia.org/wiki/Kevin_Magnussen,
nico_hulkenberg,Nico Hülkenberg,Germany,1987-08-19,https://en.wikipedia.org/wiki/Nico_Hülkenberg,
nyck_de_vries,Nyck de Vries,Netherland,1995-02-05,https://en.wikipedia.org/wiki/Nyck_de_Vries,
logan_sargeant,Logan Sargeant,United States of America,2001-12-31,https://en.wikipedia.org/wiki/Logan_Sargeant,
oscar_piastri,Oscar Piastri,Australia,2001-04-06,https://en.wikipedia.org/wiki/Oscar_Piastri,
