year,round,lap,driver_id,lap_time,gap_to_leader
2021,1,1,max_verstappen,1:58.245,0.0
2021,1,1,lewis_hamilton,1:59.538,1.293
2021,1,1,charles_leclerc,2:02.698,4.453
2021,1,1,valtteri_bottas,2:03.772,5.527
2021,1,1,pierre_gasly,2:04.697,6.452
2021,1,1,lando_norris,2:06.744,8.499
2021,1,1,daniel_ricciardo,2:08.545,10.300
2021,1,1,fernando_alonso,2:10.373,12.128
2021,1,1,lance_stroll,2:12.396,14.151
2021,1,1,carlos_sainz,2:14.282,16.037
2021,1,1,kimi_raikkonen,2:16.372,18.127
2021,1,1,antonio_giovinazzi,2:18.362,20.117
2021,1,1,esteban_ocon,2:19.866,21.621
2021,1,1,sebastian_vettel,2:21.797,23.552
2021,1,1,yuki_tsunoda,2:22.502,24.257
2021,1,1,george_russell,2:24.364,26.119
2021,1,1,nicholas_latifi,2:25.219,26.974
2021,1,1,mick_schumacher,2:26.524,28.279
2021,1,1,sergio_perez,2:27.951,29.706
2021,1,2,max_verstappen,2:22.406,0.0
2021,1,2,lewis_hamilton,2:22.712,1.599
2021,1,2,charles_leclerc,2:21.183,3.230
2021,1,2,valtteri_bottas,2:21.478,4.599
2021,1,2,pierre_gasly,2:22.263,6.309
2021,1,2,lando_norris,2:20.999,7.092
2021,1,2,daniel_ricciardo,2:20.642,8.536
2021,1,2,fernando_alonso,2:19.776,9.498
2021,1,2,lance_stroll,2:19.603,11.348
2021,1,2,carlos_sainz,2:19.070,12.701
2021,1,2,kimi_raikkonen,2:19.993,15.714
2021,1,2,antonio_giovinazzi,2:18.879,16.590
2021,1,2,esteban_ocon,2:18.821,18.036
2021,1,2,sebastian_vettel,2:18.294,19.440
2021,1,2,yuki_tsunoda,2:18.520,20.371
2021,1,2,george_russell,2:18.994,22.707
2021,1,2,nicholas_latifi,2:19.416,23.984
2021,1,2,mick_schumacher,2:19.552,25.425
2021,1,2,sergio_perez,2:20.666,PIT
2021,1,3,max_verstappen,2:38.001,0.0
2021,1,3,lewis_hamilton,2:36.656,0.254
2021,1,3,charles_leclerc,2:35.188,0.417
2021,1,3,valtteri_bottas,2:34.199,0.797
2021,1,3,pierre_gasly,2:32.610,0.918
2021,1,3,lando_norris,2:32.067,1.158
2021,1,3,daniel_ricciardo,2:31.045,1.580
2021,1,3,fernando_alonso,2:30.630,2.127
2021,1,3,lance_stroll,2:29.035,2.382
2021,1,3,carlos_sainz,2:28.127,2.827
2021,1,3,kimi_raikkonen,2:25.649,3.362
2021,1,3,antonio_giovinazzi,2:25.126,3.715
2021,1,3,esteban_ocon,2:23.946,3.981
2021,1,3,sebastian_vettel,2:22.630,4.069
2021,1,3,yuki_tsunoda,2:22.096,4.466
2021,1,3,george_russell,2:19.901,4.607
2021,1,3,nicholas_latifi,2:18.832,4.815
2021,1,3,mick_schumacher,2:17.719,5.143
2021,1,3,sergio_perez,2:15.246,5.211
2021,1,4,max_verstappen,1:44.343,0.0
2021,1,4,lewis_hamilton,1:44.932,0.843
2021,1,4,charles_leclerc,1:46.103,2.177
2021,1,4,valtteri_bottas,1:48.046,4.500
2021,1,4,lando_norris,1:49.988,6.803
2021,1,4,daniel_ricciardo,1:51.438,8.675
2021,1,4,fernando_alonso,1:52.313,10.097
2021,1,4,lance_stroll,1:52.919,10.958
2021,1,4,carlos_sainz,1:53.477,11.961
2021,1,4,antonio_giovinazzi,1:53.761,13.133
2021,1,4,kimi_raikkonen,1:56.558,15.577
2021,1,4,esteban_ocon,1:57.137,16.775
2021,1,4,sebastian_vettel,1:57.475,17.201
2021,1,4,george_russell,1:57.443,17.707
2021,1,4,sergio_perez,1:58.724,19.592
2021,1,4,yuki_tsunoda,2:00.403,20.526
2021,1,4,nicholas_latifi,2:01.239,21.711
2021,1,4,pierre_gasly,2:06.772,PIT
2021,1,4,mick_schumacher,2:09.259,30.059
2021,1,5,max_verstappen,1:44.629,0.0
2021,1,5,lewis_hamilton,1:45.139,1.353
2021,1,5,charles_leclerc,1:45.543,3.091
2021,1,5,valtteri_bottas,1:43.651,3.522
2021,1,5,lando_norris,1:42.220,4.394
2021,1,5,daniel_ricciardo,1:41.470,5.516
2021,1,5,fernando_alonso,1:40.858,6.326
2021,1,5,lance_stroll,1:41.463,7.792
2021,1,5,carlos_sainz,1:41.209,8.541
2021,1,5,antonio_giovinazzi,1:42.150,10.654
2021,1,5,kimi_raikkonen,1:40.574,11.522
2021,1,5,esteban_ocon,1:40.334,12.480
2021,1,5,george_russell,1:40.849,13.927
2021,1,5,sebastian_vettel,1:41.948,14.520
2021,1,5,sergio_perez,1:40.010,14.973
