year,round,position,driver_id,q1,q2,q3
2021,1,1,max_verstappen,1:30.499,1:30.318,1:28.997
2021,1,2,lewis_hamilton,1:30.617,1:30.085,1:29.385
2021,1,3,valtteri_bottas,1:31.200,1:30.186,1:29.586
2021,1,4,charles_leclerc,1:30.691,1:30.010,1:29.678
2021,1,5,pierre_gasly,1:30.848,1:30.513,1:29.809
2021,1,6,daniel_ricciardo,1:30.795,1:30.222,1:29.927
2021,1,7,lando_norris,1:30.902,1:30.099,1:29.974
2021,1,8,carlos_sainz,1:31.653,1:30.009,1:30.215
2021,1,9,fernando_alonso,1:30.863,1:30.595,1:30.249
2021,1,10,lance_stroll,1:31.261,1:30.624,1:30.601
2021,1,11,sergio_perez,1:31.165,1:30.659,
2021,1,12,antonio_giovinazzi,1:30.998,1:30.708,
2021,1,13,yuki_tsunoda,1:30.607,1:31.203,
2021,1,14,kimi_raikkonen,1:31.547,1:31.238,
2021,1,15,george_russell,1:31.316,1:33.430,
2021,1,16,esteban_ocon,1:31.724,,
2021,1,17,nicholas_latifi,1:31.936,,
2021,1,18,sebastian_vettel,1:32.056,,
2021,1,19,mick_schumacher,1:32.449,,
2021,1,20,nikita_mazepin,1:33.273,,
2021,2,1,lewis_hamilton,1:14.823,1:14.817,1:14.411
2021,2,2,sergio_perez,1:15.395,1:14.716,1:14.446
2021,2,3,max_verstappen,1:15.109,1:14.884,1:14.498
2021,2,4,charles_leclerc,1:15.413,1:14.808,1:14.740
2021,2,5,pierre_gasly,1:15.548,1:14.927,1:14.790
2021,2,6,daniel_ricciardo,1:15.669,1:15.033,1:14.826
2021,2,7,lando_norris,1:15.009,1:14.718,1:14.875
2021,2,8,valtteri_bottas,1:14.672,1:14.905,1:14.898
2021,2,9,esteban_ocon,1:15.385,1:15.117,1:15.210
2021,2,10,lance_stroll,1:15.522,1:15.138,
2021,2,11,carlos_sainz,1:15.406,1:15.199,
2021,2,12,george_russell,1:15.826,1:15.261,
2021,2,13,sebastian_vettel,1:15.459,1:15.394,
2021,2,14,nicholas_latifi,1:15.653,1:15.593,
2021,2,15,fernando_alonso,1:15.832,1:15.593,
2021,2,16,kimi_raikkonen,1:15.974,,
2021,2,17,antonio_giovinazzi,1:16.122,,
2021,2,18,mick_schumacher,1:16.279,,
2021,2,19,nikita_mazepin,1:16.797,,
2021,3,1,valtteri_bottas,1:18.722,1:18.458,1:18.348
2021,3,2,lewis_hamilton,1:18.857,1:17.968,1:18.355
2021,3,3,max_verstappen,1:19.485,1:18.650,1:18.746
2021,3,4,sergio_perez,1:19.337,1:18.845,1:18.890
2021,3,5,carlos_sainz,1:19.309,1:18.813,1:19.039
2021,3,6,esteban_ocon,1:19.092,1:18.586,1:19.042
2021,3,7,lando_norris,1:18.794,1:18.481,1:19.116
2021,3,8,charles_leclerc,1:19.373,1:18.769,1:19.306
2021,3,9,pierre_gasly,1:19.464,1:19.052,1:19.475
2021,3,10,sebastian_vettel,1:19.403,1:18.970,1:19.659
2021,3,11,george_russell,1:19.797,1:19.109,
2021,3,12,antonio_giovinazzi,1:19.410,1:19.216,
2021,3,13,fernando_alonso,1:19.728,1:19.456,
2021,3,14,yuki_tsunoda,1:19.684,1:19.463,
2021,3,15,kimi_raikkonen,1:19.748,1:19.812,
2021,3,16,daniel_ricciardo,1:19.839,,
2021,3,17,lance_stroll,1:19.913,,
2021,3,18,nicholas_latifi,1:20.285,,
2021,3,19,mick_schumacher,1:20.452,,
2021,3,20,nikita_mazepin,1:20.912,,
2021,4,1,lewis_hamilton,1:18.245,1:17.166,1:16.741
2021,4,2,max_verstappen,1:18.090,1:16.922,1:16.777
2021,4,3,valtteri_bottas,1:18.005,1:17.142,1:16.873
2021,4,4,charles_leclerc,1:18.041,1:17.717,1:17.510
2021,4,5,esteban_ocon,1:18.281,1:17.743,1:17.580
2021,4,6,carlos_sainz,1:18.205,1:17.656,1:17.620
2021,4,7,daniel_ricciardo,1:18.264,1:17.719,1:17.622
2021,4,8,sergio_perez,1:18.203,1:17.669,1:17.701
2021,4,9,lando_norris,1:17.821,1:17.696,1:18.010
2021,4,10,fernando_alonso,1:18.281,1:17.966,1:18.147
2021,4,11,lance_stroll,1:18.241,1:17.974,
2021,4,12,pierre_gasly,1:18.190,1:17.982,
2021,4,13,sebastian_vettel,1:18.289,1:18.079,
2021,4,14,antonio_giovinazzi,1:18.549,1:18.356,
2021,4,15,george_russell,1:18.445,1:19.154,
